,Basic Economy,Main Cabin,Main Plus,Premium Economy,Business,First
U.S.,150,150,150,150,150,150
Puerto Rico,150,150,150,150,150,150
Canada,150,150,150,150,150,150
Mexico,200,200,200,200,200,0
Haiti,200,200,200,200,200,0
Panama,200,200,200,200,200,0
Colombia,200,200,200,200,200,0
Ecuador,200,200,200,200,200,0
Peru,200,200,200,200,200,0
South America,200,200,200,200,200,0
Israel,200,200,200,200,200,0
Qatar,200,200,200,200,200,0
Europe,200,200,200,200,200,0
India,200,200,200,200,200,0
China,200,200,200,200,200,0
Japan,200,200,200,200,200,0
South Korea,200,200,200,200,200,0
Hong Kong,200,200,200,200,200,0
Australia,200,200,200,200,200,0
New Zealand,200,200,200,200,200,0
