,Basic Economy,Main Cabin,Main Plus,Premium Economy,Business,First
U.S.,45,45,45,0,0,0
Puerto Rico,45,45,45,0,0,0
Canada,45,45,45,0,0,0
Mexico,45,45,45,0,0,0
Cuba,150,150,0,0,0,0
Haiti,65,65,0,0,0,0
Panama,100,100,0,0,0,0
Colombia,100,100,0,0,0,0
Ecuador,100,100,0,0,0,0
Peru,100,100,0,0,0,0
South America,100,100,0,0,0,0
Israel,100,100,0,0,0,0
Qatar,100,100,0,0,0,0
Europe,100,100,0,0,0,0
India,100,100,0,0,0,0
China,100,100,0,0,0,0
Japan,100,100,0,0,0,0
South Korea,100,100,0,0,0,0
Hong Kong,100,100,0,0,0,0
Australia,100,100,0,0,0,0
New Zealand,100,100,0,0,0,0
